team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Chelsea FC,Chelsea,2024/2025,England,16,8,8,0,10,4,6,4,3,1,2,1,1,2.13,1.88,2.38,2,5,1,2,37,19,18,56,23,33,14,23,9,10,5,13,39,51,31,76,80,72,3,1,2,12,6,6,1,1,0,9,4,5,101,49,52,52,28,24,57,56,58,207,109,98,116,59,57,91,50,41,197,101,96,18,9,9,10,4,6,8,5,3,7,4,3,6,3,3,3,1,2,1.69,1.88,1.5,3.5,2.88,4.13,2.31,1.75,2.88,1.19,1.13,1.25,1.75,1.63,1.88,1.13,1.13,1.13,0.63,0.5,0.75,16,15,10,4,4,4,8,8,4,1,1,1,8,7,6,3,3,3,0,1,6,12,12,12,0,0,4,7,7,7,0,1,2,5,5,5,100,94,63,25,25,25,100,100,50,13,13,13,100,88,75,38,38,38,0,6,37,75,75,75,0,0,50,87,87,87,0,12,25,62,62,62,12,7,4,6,3,1,6,4,3,75,44,25,75,38,13,75,50,38,63,50,75,-10,19,13,25,75,75,75,6,13,0,56,50,63,9,5,4,56,63,50,6,3,3,38,38,38,5,2,3,31,25,38,44,50,38,38,38,38,19,13,25,6.31,6.13,6.50,3.25,3.5,3.00,94,75,69,63,50,31,19,13,1.72,1.78,1.66,1.27,1.24,1.30,100,4,5,3,3,7,2,3,6,4,2,3,2,2,2,3,1,0,4,25,38,13,13,13,13,6
West Ham United FC,West Ham United,2024/2025,England,16,8,8,0,5,3,2,4,1,3,7,4,3,1.19,1.25,1.13,14,14,14,14,21,29,-8,50,28,22,12,9,16,13,-4,-4,69,60,80,50,45,55,3,1,2,11,6,5,3,2,1,7,3,4,85,45,40,44,24,20,47,47,47,189,91,98,93,51,42,96,40,56,190,95,95,8,6,2,16,11,5,-8,-5,-3,2,1,1,7,4,3,7,3,4,0.81,0.88,0.75,3.13,3.5,2.75,1.31,1.5,1.13,1.81,2,1.63,1.5,2.13,0.88,0.5,0.75,0.25,1,1.38,0.63,15,15,10,5,3,1,7,7,7,3,2,1,8,8,3,2,1,0,1,1,6,11,13,15,1,1,1,5,6,7,0,0,5,6,7,8,94,94,63,31,19,6,88,88,88,38,25,13,100,100,38,25,13,0,6,6,37,69,81,94,12,12,12,62,75,87,0,0,62,75,87,100,11,6,3,5,5,3,6,1,0,69,38,19,63,63,38,75,13,0,31,38,25,3,19,13,25,69,75,63,19,25,13,44,38,50,6,3,3,38,38,38,10,4,6,63,50,75,5,4,1,31,50,13,13,13,13,44,50,38,44,38,50,5.31,5.63,5.00,2.75,3,2.50,88,88,81,81,75,50,38,25,1.47,1.48,1.47,1.65,1.58,1.72,100,2,2,0,3,2,3,2,3,4,7,1,4,3,2,3,3,2,4,25,13,38,44,50,38,19
Newcastle United FC,Newcastle United,2024/2025,England,16,8,8,0,6,4,2,5,2,3,5,2,3,1.44,1.75,1.13,11,8,13,11,23,21,2,44,20,24,12,11,8,13,4,-2,63,60,65,69,90,55,4,3,1,10,3,7,3,2,1,6,5,1,95,46,49,38,24,14,50,43,57,176,92,84,82,45,37,94,47,47,168,98,70,8,5,3,11,3,8,-3,2,-5,5,5,0,4,0,4,7,3,4,1.19,1.88,0.5,2.75,2.5,3,1.44,1.5,1.38,1.31,1,1.63,1.19,1,1.38,0.5,0.63,0.38,0.69,0.38,1,15,12,8,5,2,2,8,5,3,2,1,1,7,7,5,3,1,1,1,4,8,11,14,14,0,3,5,6,7,7,1,1,3,5,7,7,94,75,50,31,13,13,100,63,38,25,13,13,88,88,63,38,13,13,6,25,50,69,87,87,0,37,62,75,87,87,12,12,37,62,87,87,14,3,1,8,0,0,6,3,1,88,19,6,100,0,0,75,38,13,38,50,25,14,25,38,13,63,38,88,19,25,13,38,63,13,7,5,2,44,63,25,9,3,6,56,38,75,2,0,2,13,0,25,31,63,0,25,0,50,44,38,50,5.94,5.75,6.13,2.38,3,1.75,100,81,81,75,63,31,31,25,1.44,1.48,1.40,1.50,1.43,1.57,50,0,2,1,4,4,4,1,5,2,3,1,3,4,2,3,1,0,4,31,25,38,31,25,38,25
Aston Villa FC,Aston Villa,2024/2025,England,16,8,8,0,7,4,3,4,3,1,5,1,4,1.56,1.88,1.25,7,6,10,7,24,25,-1,49,22,27,13,11,9,16,4,-5,60,55,65,58,80,45,2,2,0,11,5,6,4,2,2,7,3,4,103,65,38,38,19,19,51,55,46,166,92,74,85,52,33,81,40,41,192,93,99,12,6,6,11,5,6,1,1,0,5,2,3,6,3,3,5,3,2,1.31,1.13,1.5,3.06,2.75,3.38,1.5,1.63,1.38,1.56,1.13,2,1.44,1.38,1.5,0.75,0.75,0.75,0.69,0.63,0.75,15,14,11,7,2,0,7,6,4,4,1,0,8,8,7,3,1,0,1,2,5,9,14,16,1,2,4,4,7,8,0,0,1,5,7,8,94,88,69,44,13,0,88,75,50,50,13,0,100,100,88,38,13,0,6,12,31,56,87,100,12,25,50,50,87,100,0,0,12,62,87,100,12,7,4,5,3,3,7,4,1,75,44,25,63,38,38,88,50,13,44,50,38,19,13,25,0,69,63,75,25,25,25,44,38,50,8,5,3,50,63,38,7,4,3,44,50,38,5,2,3,31,25,38,31,25,38,38,38,38,31,38,25,6.44,8.13,4.75,2.38,2.38,2.38,88,75,63,56,44,25,25,25,1.36,1.54,1.19,1.28,1.04,1.53,81,2,1,4,5,0,2,3,5,2,4,2,2,2,2,1,1,5,6,25,38,13,31,13,50,25
Fulham FC,Fulham,2024/2025,England,16,8,8,0,6,4,2,6,2,4,4,2,2,1.5,1.75,1.25,8,10,9,8,24,22,2,46,27,19,14,10,13,9,1,1,60,51,72,65,55,80,2,0,2,13,8,5,1,0,1,12,7,5,92,45,47,45,26,19,51,51,51,171,93,78,93,53,40,78,40,38,177,87,90,12,8,4,6,4,2,6,4,2,6,4,2,9,3,6,1,1,0,1.69,1.88,1.5,2.88,3.38,2.38,1.5,1.75,1.25,1.38,1.63,1.13,1.13,1.5,0.75,0.75,1,0.5,0.38,0.5,0.25,16,14,8,6,2,0,8,8,6,4,1,0,8,6,2,2,1,0,0,2,8,10,14,16,0,0,2,4,7,8,0,2,6,6,7,8,100,88,50,38,13,0,100,100,75,50,13,0,100,75,25,25,13,0,0,12,50,62,87,100,0,0,25,50,87,100,0,25,75,75,87,100,12,6,0,8,4,0,4,2,0,75,38,0,100,50,0,50,25,0,38,50,25,-1,13,0,25,81,100,63,6,0,13,75,88,63,10,4,6,63,50,75,5,1,4,31,13,50,5,3,2,31,38,25,38,50,25,56,38,75,6,13,0,5.75,5.63,5.88,2.81,3.25,2.38,81,75,75,56,56,38,31,31,1.45,1.59,1.32,1.33,1.25,1.40,50,3,4,3,1,1,1,3,2,6,1,1,1,3,3,5,1,0,7,38,25,50,25,25,25,19
Brighton & Hove Albion FC,Brighton & Hove Albion,2024/2025,England,16,8,8,0,6,3,3,6,4,2,4,1,3,1.5,1.63,1.38,9,13,6,9,26,25,1,51,25,26,13,13,12,13,1,0,55,55,55,58,60,55,3,1,2,13,7,6,1,1,0,9,3,6,86,50,36,35,19,16,54,55,53,173,89,84,93,46,47,80,43,37,181,103,78,12,5,7,12,6,6,0,-1,1,9,4,5,1,1,0,6,3,3,1.75,1.63,1.88,3.19,3.13,3.25,1.63,1.63,1.63,1.56,1.5,1.63,1.5,1.38,1.63,0.75,0.63,0.88,0.75,0.75,0.75,15,14,12,7,2,1,7,7,6,4,1,0,8,7,6,3,1,1,1,2,4,9,14,15,1,1,2,4,7,8,0,1,2,5,7,7,94,88,75,44,13,6,88,88,75,50,13,0,100,88,75,38,13,13,6,12,25,56,87,94,12,12,25,50,87,100,0,12,25,62,87,87,15,4,2,7,3,1,8,1,1,94,25,13,88,38,13,100,13,13,38,38,38,2,19,13,25,81,88,75,6,13,0,56,38,75,9,4,5,56,50,63,6,4,2,38,50,25,2,1,1,13,13,13,56,50,63,6,13,0,38,38,38,5.38,6.25,4.50,2.19,2.38,2.00,88,81,75,69,50,31,31,13,1.45,1.54,1.37,1.27,1.16,1.39,125,2,1,2,4,5,4,1,2,5,1,1,5,4,1,2,2,2,7,38,50,25,25,13,38,13
Nottingham Forest FC,Nottingham Forest,2024/2025,England,16,8,8,0,8,4,4,4,2,2,4,2,2,1.75,1.75,1.75,4,9,3,4,21,19,2,40,17,23,10,11,7,12,3,-1,69,72,65,76,102,60,5,3,2,8,4,4,3,1,2,12,6,6,76,47,29,39,11,28,41,49,33,174,90,84,89,48,41,85,42,43,179,89,90,7,4,3,8,1,7,-1,3,-4,3,3,0,10,5,5,3,0,3,1.19,1.75,0.63,2.5,2.13,2.88,1.31,1.25,1.38,1.19,0.88,1.5,0.94,0.63,1.25,0.44,0.5,0.38,0.5,0.13,0.88,16,11,8,4,1,0,8,5,3,1,0,0,8,6,5,3,1,0,0,5,8,12,15,16,0,3,5,7,8,8,0,2,3,5,7,8,100,69,50,25,6,0,100,63,38,13,0,0,100,75,63,38,13,0,0,31,50,75,94,100,0,37,62,87,100,100,0,25,37,62,87,100,9,5,1,4,1,0,5,4,1,56,31,6,50,13,0,63,50,13,50,50,50,11,31,38,25,50,50,50,19,13,25,75,75,75,10,7,3,63,88,38,9,4,5,56,50,63,4,1,3,25,13,38,19,38,0,63,63,63,19,0,38,4.75,5.88,3.63,2.44,1.38,3.50,100,94,81,63,44,38,31,25,1.41,1.56,1.27,1.47,1.28,1.66,50,2,2,3,0,4,2,4,2,2,1,3,1,1,2,5,2,1,3,25,25,25,25,25,25,13
Brentford FC,Brentford,2024/2025,England,16,8,8,0,7,7,0,2,1,1,7,0,7,1.44,2.75,0.13,12,1,19,12,32,30,2,62,40,22,26,6,14,16,12,-10,45,28,120,48,51,45,1,0,1,14,8,6,2,0,2,9,5,4,71,41,30,27,13,14,47,51,43,146,93,53,97,65,32,49,28,21,127,61,66,19,15,4,17,8,9,2,7,-5,7,5,2,4,3,1,5,0,5,1.56,2.25,0.88,3.88,5,2.75,2,3.25,0.75,1.88,1.75,2,2.25,2.88,1.63,1.19,1.88,0.5,1.06,1,1.13,15,15,13,8,5,3,8,8,7,6,5,3,7,7,6,2,0,0,1,1,3,8,11,13,0,0,1,2,3,5,1,1,2,6,8,8,94,94,81,50,31,19,100,100,88,75,63,38,88,88,75,25,0,0,6,6,19,50,69,81,0,0,12,25,37,62,12,12,25,75,100,100,15,8,7,8,5,4,7,3,3,94,50,44,100,63,50,88,38,38,44,88,0,35,6,0,13,88,100,75,13,0,25,56,63,50,6,3,3,38,38,38,4,0,4,25,0,50,7,5,2,44,63,25,44,63,25,25,38,13,31,0,63,4.44,5.13,3.75,1.69,1.63,1.75,100,94,94,81,69,56,56,25,1.33,1.71,0.95,1.87,1.48,2.26,106,5,1,7,0,7,5,2,1,4,2,4,6,4,3,2,2,1,6,13,13,13,44,0,88,13
Ipswich Town FC,Ipswich Town,2024/2025,England,16,8,8,0,2,0,2,6,4,2,8,4,4,0.75,0.5,1,18,18,15,18,16,28,-12,44,18,26,6,10,12,16,-6,-6,90,120,72,51,60,45,1,0,1,11,5,6,5,3,2,8,4,4,78,43,35,45,20,25,43,46,40,132,74,58,70,36,34,62,38,24,199,92,107,11,4,7,14,6,8,-3,-2,-1,3,1,2,8,5,3,5,2,3,1.06,1,1.13,2.75,2.25,3.25,1,0.75,1.25,1.75,1.5,2,1.56,1.25,1.88,0.69,0.5,0.88,0.88,0.75,1,15,13,7,4,3,1,8,7,2,1,0,0,7,6,5,3,3,1,1,3,9,12,13,15,0,1,6,7,8,8,1,2,3,5,5,7,94,81,44,25,19,6,100,88,25,13,0,0,88,75,63,38,38,13,6,19,56,75,81,94,0,12,75,87,100,100,12,25,37,62,62,87,11,8,4,5,4,1,6,4,3,69,50,25,63,50,13,75,50,38,13,0,25,-6,6,0,13,69,63,75,31,38,25,50,50,50,8,4,4,50,50,50,7,4,3,44,50,38,6,3,3,38,38,38,19,13,25,50,63,38,31,25,38,4.88,5.38,4.38,2.81,2.5,3.13,100,94,94,88,63,44,25,25,1.11,1.20,1.01,1.61,1.45,1.77,81,3,2,2,2,2,1,0,1,3,3,5,0,3,5,3,3,1,5,38,50,25,50,50,50,13
Wolverhampton Wanderers FC,Wolverhampton Wanderers,2024/2025,England,16,8,8,0,2,1,1,3,1,2,11,6,5,0.56,0.5,0.63,19,19,17,19,24,40,-16,64,32,32,12,12,20,20,-8,-8,60,60,60,36,36,36,1,1,0,13,7,6,2,0,2,4,3,1,51,26,25,42,20,22,46,44,49,146,71,75,84,41,43,62,30,32,208,101,107,11,6,5,18,8,10,-7,-2,-5,3,2,1,6,3,3,7,3,4,0.94,1.13,0.75,4,4,4,1.5,1.5,1.5,2.5,2.5,2.5,1.81,1.75,1.88,0.69,0.75,0.63,1.13,1,1.25,16,16,13,8,4,3,8,8,7,3,2,2,8,8,6,5,2,1,0,0,3,8,12,13,0,0,1,5,6,6,0,0,2,3,6,7,100,100,81,50,25,19,100,100,88,38,25,25,100,100,75,63,25,13,0,0,19,50,75,81,0,0,12,62,75,75,0,0,25,37,75,87,14,7,3,7,3,2,7,4,1,88,44,19,88,38,25,88,50,13,13,13,13,0,6,13,0,81,88,75,13,0,25,25,38,13,5,3,2,31,38,25,7,3,4,44,38,50,6,3,3,38,38,38,19,25,13,38,38,38,44,38,50,3.19,3.25,3.13,2.63,2.5,2.75,100,88,88,75,44,25,19,13,1.22,1.19,1.26,1.64,1.70,1.58,119,4,1,3,2,1,3,3,2,5,6,4,2,2,6,3,2,9,6,19,13,25,69,75,63,13
